大山賛歌,川口 真,112,7
0,17,0
0,32,3
1,48,-3
1,64,3
0,80,-3
0,96,3
1,112,-3
1,128,3
0,144,-3
0,160,3
1,176,-3
1,192,3
0,209,-3
0,225,0
0,233,-4
0,237,4
0,239,-5
0,241,5
0,245,-3
0,249,-5
0,249,5
1,270,-3
1,274,3
0,274,0
1,278,-5
1,282,5
0,290,0
1,302,-3
1,306,3
0,306,0
1,310,-5
1,314,5
0,322,0
1,334,-3
1,338,3
0,338,0
1,342,-5
1,346,5
0,353,0
1,365,-3
0,369,0
1,369,3
1,373,-5
1,377,5
0,377,0
0,383,0
0,387,-5
0,389,5
1,397,-3
1,401,3
0,401,0
1,405,-5
1,409,5
0,416,0
1,428,-3
1,432,3
0,432,0
1,436,-5
1,440,5
0,448,0
1,459,-3
1,463,3
0,463,0
1,467,-5
1,471,5
0,479,0
1,491,-3
1,495,3
0,495,0
1,499,-5
1,503,5
0,503,0
0,509,-3
0,513,5
0,515,-5
0,522,-3
0,524,3
0,526,-5
0,530,5
1,534,-3
0,538,3
0,540,-5
0,542,5
0,546,-3
1,550,3
0,554,-5
0,556,5
0,558,-3
0,562,3
1,566,-5
0,574,5
0,578,-3
0,581,5
0,585,-5
1,589,3
0,601,-3
0,605,3
0,609,-5
0,612,5
0,616,-3
1,620,3
0,636,-3
0,640,3
0,644,-3
0,656,3
0,660,-5
0,664,5
0,668,-3
0,672,3
1,676,-3
1,683,3
1,691,-3
0,699,3
0,703,-3
0,707,3
1,714,-3
0,722,3
0,726,-3
1,734,3
0,742,-3
0,746,3
0,750,-3
0,754,3
0,770,3
1,770,4.5
0,770,6
0,779,-3
1,779,-4.5
0,779,-6
0,787,3
1,787,4.5
0,787,6
0,795,-2
1,795,-3.5
0,795,-5
0,803,2
1,803,3.5
0,803,5
0,811,-1
1,811,-2.5
0,811,-4
0,819,1
1,819,2.5
0,819,4
0,827,0
1,827,-1.5
0,827,-3
0,835,0
1,835,1.5
0,835,3
0,843,-3
1,843,0
0,843,3
0,851,-4
1,851,0
0,851,4
0,859,-5
1,859,0
0,859,5
0,867,-3
1,867,0
0,867,3
1,884,-6
0,884,-2
1,884,2
0,884,6
1,900,-6
0,900,-3
1,900,-0
0,900,3
1,900,6
0,908,-5
0,912,5
0,920,-3
0,924,3
0,928,-5
0,932,5
0,939,-3
0,943,3
0,947,-5
0,951,5
0,955,-3
0,959,3
0,963,-5
0,981,-4
0,981,0
0,981,4
1,993,-6
1,993,-4
1,993,-2
1,993,0
1,993,2
1,993,4
1,993,6
0,1006,-6
1,1008,-5
0,1010,-4
1,1012,-3
0,1014,-2
1,1016,-1
0,1018,0
1,1020,1
0,1022,2
1,1024,3
0,1026,4
1,1028,5
0,1030,6
1,1032,5
0,1034,4
1,1036,3
0,1038,2
1,1040,1
0,1042,0
1,1044,-1
0,1046,-2
1,1048,-3
0,1050,-4
1,1052,-5
